url,domain,status_code,status_class,url_final,elapsed_ms,n_referenciada_por,erro
https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12513.htm,www.planalto.gov.br,,timeout,,30771,1,TimeoutException
https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14457.htm,www.planalto.gov.br,,erro_rede,,1672,3,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://www.gov.br/mec/pt-br/assuntos/noticias/2025/junho/divulgados-planos-estaduais-de-educacao-nas-prisoes,www.gov.br,,erro_rede,,196,1,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://ojs.observatoriolatinoamericano.com/ojs/index.php/olel/article/view/805/512,ojs.observatoriolatinoamericano.com,403.0,forbidden_403,https://ojs.observatoriolatinoamericano.com/ojs/index.php/olel/article/view/805/512,53,1,
https://portal.ifba.edu.br/noticias/2025/ifba-inicia-cursos-pelo-pronatec-em-13-campi,portal.ifba.edu.br,,erro_rede,,106,1,ConnectError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)
https://publicadministration.un.org/en/Research/Case-Studies/unpsacases/ctl/NominationProfilev2014/mid/1170/id/2407,publicadministration.un.org,,erro_rede,,1313,1,RemoteProtocolError: illegal header line: bytearray(b'Strict\x96?Transport\x96?Security: max\x96?age= 31536000; includeSubDomains')
https://www.gov.br/trabalho-e-emprego/pt-br/noticias-e-conteudo/2025/setembro/mte-lanca-edital-para-qualificacao-profissional-de-600-pessoas-pelo-programa-manuel-querino,www.gov.br,200.0,ok_200,https://www.gov.br/trabalho-e-emprego/pt-br/noticias-e-conteudo/2025/setembro/mte-lanca-edital-para-qualificacao-profissional-de-600-pessoas-pelo-programa-manuel-querino,9919,1,
https://servidores.rhbahia.ba.gov.br/noticias/2021-12-27/governo-oferta-5-mil-vagas-para-cursos-de-qualificacao-profissional,servidores.rhbahia.ba.gov.br,404.0,not_found_404,https://servidores.rhbahia.ba.gov.br/noticias/2021-12-27/governo-oferta-5-mil-vagas-para-cursos-de-qualificacao-profissional,259,1,
https://leisestaduais.com.br/ba/decreto-n-20401-2021-bahia-institui-o-programa-educar-para-trabalhar-e-da-outras-providencias,leisestaduais.com.br,403.0,forbidden_403,https://leisestaduais.com.br/ba/decreto-n-20401-2021-bahia-institui-o-programa-educar-para-trabalhar-e-da-outras-providencias,1657,1,
https://www.gov.br/trabalho-e-emprego/pt-br/servicos/trabalhador/qualificacao-profissional/caminho-digital,www.gov.br,200.0,ok_200,https://www.gov.br/trabalho-e-emprego/pt-br/servicos/trabalhador/qualificacao-profissional/caminho-digital,459,1,
https://www.bnews.com.br/noticias/economia-e-mercado/a-bahia-e-lider-na-geracao-de-empregos-no-nordeste-destaca-secretario-durante-inauguracao-de-nova-sede-do-sinebahia.html,www.bnews.com.br,200.0,ok_200,https://www.bnews.com.br/noticias/economia-e-mercado/a-bahia-e-lider-na-geracao-de-empregos-no-nordeste-destaca-secretario-durante-inauguracao-de-nova-sede-do-sinebahia.html,889,1,
https://www.gov.br/senappen/pt-br/acesso-a-informacao/politicas-acoes-e-programas/politicas-penais/educacao/2025-2028/ce.pdf,www.gov.br,200.0,ok_200,https://www.gov.br/senappen/pt-br/acesso-a-informacao/politicas-acoes-e-programas/politicas-penais/educacao/2025-2028/ce.pdf,11661,2,
https://www.gov.br/fnde/pt-br/acesso-a-informacao/legislacao/resolucoes/2024/resolucao-no-20-de-9-de-setembro-de-2024/view,www.gov.br,200.0,ok_200,https://www.gov.br/fnde/pt-br/acesso-a-informacao/legislacao/resolucoes/2024/resolucao-no-20-de-9-de-setembro-de-2024/view,1025,1,
https://portal.mec.gov.br/setec/arquivos/pdf1/proejadecreto5840.pdf,portal.mec.gov.br,403.0,forbidden_403,https://portal.mec.gov.br/setec/arquivos/pdf1/proejadecreto5840.pdf,251,1,
https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l14818.htm,www.planalto.gov.br,,timeout,,30198,1,TimeoutException
https://www.gov.br/trabalho-e-emprego/pt-br/noticias-e-conteudo/2025/janeiro/seguro-desemprego-2025-atualizacao-das-faixas-e-valores-do-beneficio,www.gov.br,200.0,ok_200,https://www.gov.br/trabalho-e-emprego/pt-br/noticias-e-conteudo/2025/janeiro/seguro-desemprego-2025-atualizacao-das-faixas-e-valores-do-beneficio,2546,1,
https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14457,www.planalto.gov.br,,timeout,,30139,1,TimeoutException
